"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"042-CE Validar busca com campo de pesquisa vazio","10873","testFuncionalidadeBuscarVazia()","","Thu Aug 22 13:26:17 BRT 2024","passed","Thu Aug 22 13:26:28 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeBuscarVazia"
"047-CE Tentar validar pagamento sem aceitar Termos de serviço","51517","testFuncionalidadeTentarValidarPagamentoSemAceitarTermosDeServico()","","Thu Aug 22 17:36:15 BRT 2024","passed","Thu Aug 22 17:37:06 BRT 2024","","org.selenium.task_automation_practice.test.ProductPaymentTest","org.selenium.task_automation_practice.test.ProductPaymentTest","testFuncionalidadeTentarValidarPagamentoSemAceitarTermosDeServico"
"039-CE Verificar carrinho sem produtos adicionados","13092","testFuncionalidadeCarrinhoVazio()","","Thu Aug 22 15:07:12 BRT 2024","passed","Thu Aug 22 15:07:25 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeCarrinhoVazio"
"033-CE Verificação da exibição correta das páginas  ‘BEST SELLERS’ com sucesso","10284","testFuncionalidadeBestSellers()","","Thu Aug 22 14:21:21 BRT 2024","passed","Thu Aug 22 14:21:31 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeBestSellers"
"","10051","test1validarLoginDadosValidos()","","Thu Aug 22 10:58:30 BRT 2024","passed","Thu Aug 22 10:58:40 BRT 2024","","org.selenium.task_automation_practice.test.LoginTest","org.selenium.task_automation_practice.test.LoginTest","test1validarLoginDadosValidos"
"031-CE Verificação da exibição correta das páginas ‘Shop Now!’ com sucesso","14644","testFuncionalidadeShopNow()","","Thu Aug 22 13:49:54 BRT 2024","passed","Thu Aug 22 13:50:09 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeShopNow"
"040-CE Validar busca na aba de pesquisa com sucesso","14073","testFuncionalidadeBuscar()","","Thu Aug 22 15:53:56 BRT 2024","passed","Thu Aug 22 15:54:10 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeBuscar"
"025-CE Verificação da exibição correta das páginas 'Women' com sucesso","14924","testFuncionalidadeWomen()","","Thu Aug 22 15:49:16 BRT 2024","passed","Thu Aug 22 15:49:31 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeWomen"
"026-CE Verificação da exibição correta das páginas 'Dresses’' com sucesso","12215","testFuncionalidadeDresses()","","Thu Aug 22 13:41:46 BRT 2024","passed","Thu Aug 22 13:41:58 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeDresses"
"046-CE Validar pagamento com sucesso","53364","testFuncionalidadeValidarPagamentoComSucesso()","","Thu Aug 22 17:23:32 BRT 2024","passed","Thu Aug 22 17:24:25 BRT 2024","","org.selenium.task_automation_practice.test.ProductPaymentTest","org.selenium.task_automation_practice.test.ProductPaymentTest","testFuncionalidadeValidarPagamentoComSucesso"
"034-CE Verificação da exibição correta das páginas  ‘Quick View’ com sucesso","11267","testFuncionalidadeQuickView()","","Thu Aug 22 14:29:43 BRT 2024","passed","Thu Aug 22 14:29:55 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeQuickView"
"037-CE Verificar adição duplicada de produtos no carrinho","37062","testFuncionalidadeAddToCartDuplicado()","","Thu Aug 22 16:28:37 BRT 2024","passed","Thu Aug 22 16:29:14 BRT 2024","","org.selenium.task_automation_practice.test.ProductTest","org.selenium.task_automation_practice.test.ProductTest","testFuncionalidadeAddToCartDuplicado"
"036-CE Verificação do botão ‘Adicionar ao carrinho’ com sucesso","29236","testFuncionalidadeAddToCart()","","Thu Aug 22 16:39:07 BRT 2024","passed","Thu Aug 22 16:39:36 BRT 2024","","org.selenium.task_automation_practice.test.ProductPaymentTest","org.selenium.task_automation_practice.test.ProductPaymentTest","testFuncionalidadeAddToCart"
"027-CE Verificação da exibição correta das páginas 'T-shirts' com sucesso","10668","testFuncionalidadeTShirts()","","Thu Aug 22 13:42:13 BRT 2024","passed","Thu Aug 22 13:42:24 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeTShirts"
"036-CE Verificação do botão ‘Adicionar ao carrinho’ com sucesso","26609","testFuncionalidadeAddToCart()","","Thu Aug 22 16:24:32 BRT 2024","passed","Thu Aug 22 16:24:58 BRT 2024","","org.selenium.task_automation_practice.test.ProductTest","org.selenium.task_automation_practice.test.ProductTest","testFuncionalidadeAddToCart"
"035-CE Verificação da exibição correta das páginas  ’More’ com sucesso","21355","testFuncionalidadeMore()","","Thu Aug 22 14:31:38 BRT 2024","passed","Thu Aug 22 14:31:59 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeMore"
"029-CE Verificação da exibição correta ao voltar para home no ‘Your Logo’ com sucesso","10658","testFuncionalidadeLogo()","","Thu Aug 22 13:42:54 BRT 2024","passed","Thu Aug 22 13:43:05 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeLogo"
"032-CE Verificação da exibição correta das páginas  ‘POPULAR’ com sucesso","18352","testFuncionalidadePopular()","","Thu Aug 22 14:22:29 BRT 2024","passed","Thu Aug 22 14:22:48 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadePopular"
"041-CE Tentar validar busca inserindo uma pesquisa inválida","9516","testFuncionalidadeBuscarInvalida()","","Thu Aug 22 13:25:42 BRT 2024","passed","Thu Aug 22 13:25:52 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeBuscarInvalida"
"038-CE Verificação do botão “Carrinho” com sucesso","13519","testFuncionalidadeCarrinho()","","Thu Aug 22 15:04:25 BRT 2024","passed","Thu Aug 22 15:04:38 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeCarrinho"
"028-CE Verificação da exibição correta das páginas 'Blog' com sucesso","8411","testFuncionalidadeBlog()","","Thu Aug 22 13:42:33 BRT 2024","passed","Thu Aug 22 13:42:41 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeBlog"
"030-CE Verificação da exibição correta ao voltar para home no ‘Get Savings’ com sucesso","11554","testFuncionalidadeGetSavings()","","Thu Aug 22 13:43:30 BRT 2024","passed","Thu Aug 22 13:43:41 BRT 2024","","org.selenium.task_automation_practice.test.HomeTest","org.selenium.task_automation_practice.test.HomeTest","testFuncionalidadeGetSavings"
